item_id,start_date,change_code,id,guid,associate_id,user_id,pin,title,content,score,useless_count,useful_count,reply_count,advantage,disvantage,order_id,topped,status,audited,dealt,integral,client_type,ip,buy_time,created,modified,merge_order_status,sortweight,product_size,discussion_id,product_color,firstattribute,secondattribute,tag_count,imp_time,dp,dt,end_date
1291931584,2016/6/19,c76d14a7c9afac78bbcdd43677cf414,1619047247,fd076b87-2a17-4706-bf57-2c27f391db87,10341696322,911913498,zhangjun19770826,NULL,宝贝收到，很合适，质量也不错是一次愉快的购物，物流也很快，宝贝和公布的一样。,5,0,0,0,NULL,NULL,19657207311,0,1,0,1,-20,2,113.248.151.154,16:16.0,58:28.2,58:42.6,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/7/26,792cdd3c55fba2b667e6ebb5e82b6d21,1713643565,37b8c339-3f1e-4ea6-b38d-b9a909112777,10341696322,1124798109,jd_513af71d433ae,NULL,不错,5,0,0,0,NULL,NULL,20264609865,0,1,0,1,0,4,113.82.1.178,42:51.0,49:34.8,49:46.5,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/6/21,271e4ae5fa151338105350b2ac3e755,1627635976,32aedeca-6743-4d38-8595-df4073f85ba8,10341696322,1071534632,jd_5a17e20e33b00,NULL,非常满意，尺码合适，色彩和展示的比较稳合。希望下次再合作。,5,0,0,0,NULL,NULL,19690947133,0,1,0,1,-20,4,125.66.179.212,38:17.0,09:21.7,09:44.4,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/6/26,afc8b1631669b8736dc4cd1334d32fd4,1641428304,266b38db-052b-45cc-ae98-b9517aa40e89,10341696322,1131458443,wdxRlDWNuzUVMo,NULL,非常喜欢,5,0,1,0,NULL,NULL,19885674094,0,1,0,1,0,4,221.198.228.15,07:41.0,35:53.4,39:46.2,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/6/25,7d2162e393b828801b60934fbf9a54f,1638567650,ca94b42e-826f-4eb8-a351-b6f60b66cdd5,10341696322,426407997,loveyouyoy_m,NULL,不错,5,0,0,0,NULL,NULL,19768663711,0,1,0,1,0,2,180.162.58.5,49:32.0,43:00.6,43:22.6,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/7/8,13ae165635b16553e337deb995568f4e,1672834975,e27782db-5fff-4e15-b9a2-67b4b4ac2563,10341696322,1029064002,lht13937501020,NULL,老婆特喜欢，满脸灿烂。下次依旧会关注，赘,5,0,0,0,NULL,NULL,19986917190,0,1,0,1,-20,21,182.122.99.164,58:28.0,28:29.0,28:45.9,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/6/22,9e805bb62ee14ccf1f3f38d0dc0d19e,1630000738,ce252dc5-152c-4ca3-87af-ed8899a5cdb3,10341696322,617076677,85124831金枫,NULL,看着还不错，送人的，朋友说不错！,5,0,0,0,NULL,NULL,19728232455,0,1,0,1,-20,4,114.226.170.138,02:41.0,49:46.0,50:08.4,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/5/20,a5e74054ea8378a3a762b9f4896e81c0,1537713096,06a6dfa3-5c77-4709-b737-045a03155ce3,10341696322,415540514,wdvTQeUunvOzcB,NULL,物流很快，裙子很漂亮,4,0,0,0,NULL,NULL,19189087115,0,1,0,1,-20,21,117.149.88.205,35:51.0,01:32.3,01:42.1,NULL,0,L,NULL,浅灰色,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/7/23,25ae8bb8a943e320f77f55133e44d452,1708272848,1300ab68-443d-4a42-82e9-619fd781a85c,10341696322,942466843,wdCNAeCDZxipAl,NULL,总的来说还不错&hellip;&hellip;,4,0,0,0,NULL,NULL,20423180733,0,1,0,1,-20,21,111.30.137.183,05:55.0,02:29.0,02:35.4,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
1291931584,2016/7/2,6d708fe34e3086a3704a8446233c8c5,1657012201,70fc528d-19bf-439a-801a-60d202234ab4,10341696322,131777646,jd_46319a55e130f,NULL,大,5,0,0,1,NULL,NULL,19978310724,0,1,0,1,0,4,49.113.197.162,17:45.0,12:21.3,50:08.0,NULL,0,L,NULL,浅兰,NULL,NULL,0,NULL,ACTIVE,4712/12/31,4712/12/31
